date,open,high,low,close,adj_close,volume,ticker
2019-01-02,20.998332977294922,22.030000686645508,20.741666793823242,21.573333740234375,21.573333740234375,5590200,DECK
2019-01-03,21.43000030517578,21.579999923706055,20.88833236694336,20.968332290649414,20.968332290649414,4199400,DECK
2019-01-04,21.22833251953125,21.30500030517578,20.206666946411133,20.29833221435547,20.29833221435547,6042000,DECK
2019-01-07,20.34000015258789,21.248332977294922,20.023332595825195,20.850000381469727,20.850000381469727,5070000,DECK
2019-01-08,21.059999465942383,21.211666107177734,20.413333892822266,21.003332138061523,21.003332138061523,2508600,DECK
2019-01-09,21.09833335876465,21.378332138061523,20.851667404174805,21.10333251953125,21.10333251953125,3670200,DECK
2019-01-10,20.768333435058594,20.97166633605957,18.774999618530273,18.934999465942383,18.934999465942383,7984800,DECK
2019-01-11,18.933332443237305,19.209999084472656,18.47833251953125,18.883333206176758,18.883333206176758,4501800,DECK
2019-01-14,18.844999313354492,19.323333740234375,18.77833366394043,18.959999084472656,18.959999084472656,3388800,DECK
2019-01-15,19.049999237060547,19.196666717529297,18.766666412353516,18.97833251953125,18.97833251953125,3562200,DECK
2019-01-16,18.96500015258789,19.183332443237305,18.773332595825195,19.143333435058594,19.143333435058594,3109800,DECK
2019-01-17,19.136667251586914,19.774999618530273,19.010000228881836,19.594999313354492,19.594999313354492,3576600,DECK
2019-01-18,19.81999969482422,19.963333129882812,19.373332977294922,19.81166648864746,19.81166648864746,3195000,DECK
2019-01-22,19.791667938232422,20.426666259765625,19.59166717529297,20.18000030517578,20.18000030517578,4156200,DECK
2019-01-23,20.241666793823242,20.77166748046875,20.241666793823242,20.59166717529297,20.59166717529297,4728600,DECK
2019-01-24,20.50666618347168,20.52833366394043,19.96666717529297,20.488332748413086,20.488332748413086,3273600,DECK
2019-01-25,20.746667861938477,21.141666412353516,20.663333892822266,20.893333435058594,20.893333435058594,3862200,DECK
2019-01-28,20.6200008392334,21.241666793823242,20.6200008392334,20.998332977294922,20.998332977294922,3255000,DECK
2019-01-29,21.079999923706055,21.191667556762695,20.75666618347168,20.836666107177734,20.836666107177734,2759400,DECK
2019-01-30,20.946666717529297,21.225000381469727,20.796667098999023,21.18833351135254,21.18833351135254,2541600,DECK
2019-01-31,21.204999923706055,21.416667938232422,20.899999618530273,21.40833282470703,21.40833282470703,6586200,DECK
2019-02-01,24.166667938232422,24.483333587646484,23.094999313354492,23.64666748046875,23.64666748046875,22660200,DECK
2019-02-04,23.65999984741211,23.854999542236328,23.191667556762695,23.2549991607666,23.2549991607666,5938800,DECK
2019-02-05,23.391666412353516,23.579999923706055,23.148332595825195,23.225000381469727,23.225000381469727,3428400,DECK
2019-02-06,23.219999313354492,23.56166648864746,22.780000686645508,23.551666259765625,23.551666259765625,4500000,DECK
2019-02-07,23.393333435058594,23.81999969482422,23.133333206176758,23.45166778564453,23.45166778564453,4840800,DECK
2019-02-08,23.428333282470703,23.80666732788086,23.334999084472656,23.510000228881836,23.510000228881836,3259800,DECK
2019-02-11,23.718332290649414,24.06166648864746,23.54833221435547,23.976667404174805,23.976667404174805,3632400,DECK
2019-02-12,23.961666107177734,24.448333740234375,23.831666946411133,24.010000228881836,24.010000228881836,2635200,DECK
2019-02-13,23.946666717529297,24.376667022705078,23.88833236694336,23.963333129882812,23.963333129882812,3285600,DECK
2019-02-14,23.803333282470703,24.02666664123535,23.235000610351562,23.77666664123535,23.77666664123535,3001800,DECK
2019-02-15,23.924999237060547,24.38833236694336,23.833332061767578,24.38166618347168,24.38166618347168,3508200,DECK
2019-02-19,24.3700008392334,24.426666259765625,24.184999465942383,24.268333435058594,24.268333435058594,3167400,DECK
2019-02-20,24.198333740234375,24.198333740234375,23.746667861938477,23.961666107177734,23.961666107177734,2785200,DECK
2019-02-21,23.871667861938477,24.02666664123535,23.57666778564453,23.876667022705078,23.876667022705078,1876800,DECK
