date,company,ticker,adj_close,source_url
2019-01-02,Deckers,DECK,21.57333374023437,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-03,Deckers,DECK,20.96833229064941,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-04,Deckers,DECK,20.29833221435547,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-07,Deckers,DECK,20.850000381469727,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-08,Deckers,DECK,21.003332138061523,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-09,Deckers,DECK,21.10333251953125,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-10,Deckers,DECK,18.934999465942383,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-11,Deckers,DECK,18.88333320617676,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-14,Deckers,DECK,18.959999084472656,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-15,Deckers,DECK,18.97833251953125,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-16,Deckers,DECK,19.143333435058597,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-17,Deckers,DECK,19.59499931335449,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-18,Deckers,DECK,19.81166648864746,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-22,Deckers,DECK,20.18000030517578,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-23,Deckers,DECK,20.59166717529297,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-24,Deckers,DECK,20.48833274841309,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-25,Deckers,DECK,20.893333435058597,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-28,Deckers,DECK,20.99833297729492,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-29,Deckers,DECK,20.83666610717773,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-30,Deckers,DECK,21.18833351135254,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-01-31,Deckers,DECK,21.40833282470703,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-02-01,Deckers,DECK,23.64666748046875,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-02-04,Deckers,DECK,23.2549991607666,https://query2.finance.yahoo.com/v8/finance/chart/DECK
2019-02-05,Deckers,DECK,23.225000381469727,https://query2.finance.yahoo.com/v8/finance/chart/DECK
