ticker,period_end,accounts_payable,accounts_receivable,cash_and_equivalents,class_a_shares_outstanding,class_b_shares_outstanding,current_assets,current_debt,current_lease_liabilities,current_liabilities,inventory,noncurrent_debt,noncurrent_lease_liabilities,other_current_assets,other_current_liabilities,short_term_investments,currency,operating_nwc_proxy,total_debt_reported,net_debt_reported,class_a_plus_b_shares,source_url,source_currency,fx_rate_chf_usd,fx_rate_date,fx_method
DECK,2026-06-30,726407000.0,378348000.0,1602589000.0,,,2922029000.0,,,1063631000.0,807580000.0,,,67940000.0,146713000.0,,USD,380748000.0,,,,https://www.sec.gov/Archives/edgar/data/910521/000091052126000022/deck-20260630.htm,USD,1.0,2026-06-30,not_required_usd_source
NKE,2026-05-31,3600000000.0,5931000000.0,7563000000.0,281000000.0,1202000000.0,24603000000.0,2000000000.0,478000000.0,12547000000.0,7501000000.0,5942000000.0,2613000000.0,2144000000.0,6092000000.0,1464000000.0,USD,5884000000.0,7942000000.0,-1085000000.0,1483000000.0,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm,USD,1.0,2026-05-31,not_required_usd_source
ONON,2026-06-30,260912572.6222992,462470626.3542175,1490787666.130066,,,2835414829.492569,,108692962.71800995,1001607506.275177,584765666.3179398,,586867805.5286407,200816122.24578857,459131934.6666336,96574748.44455719,USD,528007907.62901306,,,,https://www.sec.gov/Archives/edgar/data/1858985/000185898526000018/onholdingag-20260630_d2.htm,CHF,1.2365524768829346,2026-06-30,latest_valid_adj_close_on_or_before_period_end
