date,open,high,low,close,adj_close,volume
2021-01-01,1.113089919090271,1.12386953830719,1.1123470067977903,1.11346173286438,1.11346173286438,0.0
2021-01-04,1.1323232650756836,1.1382391452789309,1.130607843399048,1.13237464427948,1.13237464427948,0.0
2021-01-05,1.134751796722412,1.1386020183563232,1.1343399286270142,1.1347646713256836,1.1347646713256836,0.0
2021-01-06,1.1387187242507937,1.1422044038772583,1.1338125467300415,1.1387187242507937,1.1387187242507937,0.0
2021-01-07,1.1388094425201416,1.1396141052246094,1.1286299228668213,1.1388614177703855,1.1388614177703855,0.0
2021-01-08,1.1295478343963623,1.1332343816757202,1.1256697177886963,1.1297520399093628,1.1297520399093628,0.0
2021-01-11,1.1268748044967651,1.1275991201400757,1.1210637092590332,1.1265828609466553,1.1265828609466553,0.0
2021-01-12,1.1241008043289185,1.1248594522476196,1.1216169595718384,1.124075412750244,1.124075412750244,0.0
2021-01-13,1.128795504570007,1.1298797130584717,1.1249985694885254,1.128795504570007,1.128795504570007,0.0
2021-01-14,1.1272051334381104,1.1281588077545166,1.121623158454895,1.1275228261947632,1.1275228261947632,0.0
2021-01-15,1.1258091926574707,1.127650022506714,1.12311589717865,1.1258091926574707,1.1258091926574707,0.0
2021-01-18,1.1206742525100708,1.1239112615585327,1.1205862760543823,1.1208499670028689,1.1208499670028689,0.0
2021-01-19,1.12251079082489,1.128413438796997,1.1217100620269775,1.1224603652954102,1.1224603652954102,0.0
2021-01-20,1.1259866952896118,1.1278661489486694,1.1211265325546265,1.1261261701583862,1.1261261701583862,0.0
2021-01-21,1.1248087882995603,1.1301988363265991,1.123721718788147,1.1245051622390747,1.1245051622390747,0.0
2021-01-22,1.1296755075454712,1.1314136981964111,1.1279170513153076,1.1294840574264526,1.1294840574264526,0.0
2021-01-25,1.1292799711227417,1.1303905248641968,1.124606370925903,1.1295312643051147,1.1295312643051147,0.0
2021-01-26,1.126037359237671,1.1278280019760132,1.1241639852523804,1.126100778579712,1.126100778579712,0.0
2021-01-27,1.1278789043426514,1.128795504570007,1.1217553615570068,1.1277772188186646,1.1277772188186646,0.0
2021-01-28,1.1247328519821167,1.1273956298828125,1.1213905811309814,1.124985933303833,1.124985933303833,0.0
2021-01-29,1.125568389892578,1.126887559890747,1.122725009918213,1.1253544092178345,1.1253544092178345,0.0
2021-02-01,1.1216672658920288,1.1228384971618652,1.1152374744415283,1.1218812465667725,1.1218812465667725,0.0
2021-02-02,1.1153743267059326,1.1177055835723877,1.1117781400680542,1.1154738664627075,1.1154738664627075,0.0
2021-02-03,1.1140199899673462,1.114951491355896,1.1108518838882446,1.1142061948776243,1.1142061948776243,0.0
2021-02-04,1.1131147146224976,1.1132138967514038,1.1062558889389038,1.113164305686951,1.113164305686951,0.0
2021-02-05,1.106157898902893,1.1122233867645264,1.1055954694747925,1.106157898902893,1.106157898902893,0.0
2021-02-08,1.1123223304748535,1.11346173286438,1.1087826490402222,1.112371802330017,1.112371802330017,0.0
2021-02-09,1.112681269645691,1.1200717687606812,1.112681269645691,1.11284339427948,1.11284339427948,0.0
2021-02-10,1.1204230785369873,1.124821424484253,1.1197456121444702,1.1205737590789795,1.1205737590789795,0.0
2021-02-11,1.123721718788147,1.1247328519821167,1.1225864887237549,1.1232850551605225,1.1232850551605225,0.0
2021-02-12,1.1234439611434937,1.123974323272705,1.1186808347702026,1.1234439611434937,1.1234439611434937,0.0
2021-02-15,1.1212396621704102,1.1242270469665527,1.1205360889434814,1.121379256248474,1.121379256248474,0.0
2021-02-16,1.1241008043289185,1.1273956298828125,1.119921088218689,1.1238051652908323,1.1238051652908323,0.0
2021-02-17,1.1191065311431885,1.1202723979949951,1.1123223304748535,1.1195476055145264,1.1195476055145264,0.0
2021-02-18,1.1128793954849243,1.1165075302124023,1.1117658615112305,1.1130527257919312,1.1130527257919312,0.0
2021-02-19,1.1162209510803225,1.119444727897644,1.1149640083312988,1.116308093070984,1.116308093070984,0.0
2021-02-22,1.1150137186050415,1.117817997932434,1.108426213264465,1.1152125597000122,1.1152125597000122,0.0
2021-02-23,1.1164439916610718,1.1176930665969849,1.1085245609283447,1.11645770072937,1.11645770072937,0.0
2021-02-24,1.1049295663833618,1.1051067113876345,1.099601984024048,1.1048502922058103,1.1048502922058103,0.0
2021-02-25,1.1028629541397097,1.1077386140823364,1.1013579368591309,1.1030223369598389,1.1030223369598389,0.0
2021-02-26,1.104472041130066,1.1079105138778689,1.0997591018676758,1.1042768955230713,1.1042768955230713,0.0
2021-03-01,1.1021713018417358,1.102657437324524,1.0923231840133667,1.1020498275756836,1.1020498275756836,0.0
2021-03-02,1.0929319858551023,1.0942115783691406,1.0879143476486206,1.0930156707763672,1.0930156707763672,0.0
2021-03-03,1.0930156707763672,1.0940918922424316,1.0883997678756714,1.0928961038589478,1.0928961038589478,0.0
