ticker,period_end,capital_expenditures,cash_from_operations,change_in_working_capital,cost_of_revenue,depreciation_amortization,dividends_paid,gross_profit,income_tax_expense,interest_paid,net_income,operating_income,pretax_income,revenue,selling_general_admin,stock_based_compensation,weighted_average_basic_shares,weighted_average_diluted_shares,operating_income_basis,gross_margin,operating_margin,da_to_revenue,capex_to_revenue,tax_rate_observed,cash_flow_after_capex,currency,duration,source_url,operating_nwc_proxy,delta_operating_nwc_proxy,nopat_observed_tax,fcff_proxy_observed_tax_nwc,source_currency,fx_rate_chf_usd,fx_rate_date,fx_method
DECK,2024-03-31,89365000.0,1033184000.0,,1902275000.0,57587000.0,,2385488000.0,219378000.0,,759563000.0,927514000.0,978941000.0,4287763000.0,,37288000.0,,,reported,0.5563479138189308,0.21631652682296107,0.01343054641779408,0.02084187022463695,0.22409726428865478,943819000.0,USD,annual,https://www.sec.gov/Archives/edgar/data/910521/000162828026037664/deck-20260331.htm,378301000.0,-159227000.0,719660650.0105727,847109650.0105727,USD,1.0,2024-03-31,not_required_usd_source
DECK,2025-03-31,86171000.0,1044523000.0,,2099949000.0,69353000.0,,2885663000.0,277208000.0,,966091000.0,1179092000.0,1243299000.0,4985612000.0,,37943000.0,,,reported,0.57879814955516,0.23649894937672647,0.013910629226662644,0.017283936254967294,0.22296165282848293,958352000.0,USD,annual,https://www.sec.gov/Archives/edgar/data/910521/000162828026037664/deck-20260331.htm,335305000.0,-42996000.0,916199698.8431585,942377698.8431585,USD,1.0,2025-03-31,not_required_usd_source
DECK,2026-03-31,84623000.0,1181955000.0,,2314570000.0,75773000.0,,3157726000.0,302285000.0,,1024071000.0,1262903000.0,1326356000.0,5472296000.0,,44835000.0,,,reported,0.5770385958654284,0.23078119312259424,0.013846655955745083,0.015463893035025883,0.22790638410803735,1097332000.0,USD,annual,https://www.sec.gov/Archives/edgar/data/910521/000162828026037664/deck-20260331.htm,332408000.0,-2897000.0,975079343.7908074,969126343.7908074,USD,1.0,2026-03-31,not_required_usd_source
NKE,2024-05-31,812000000.0,7429000000.0,,28475000000.0,796000000.0,2169000000.0,22887000000.0,1000000000.0,381000000.0,5700000000.0,6311000000.0,6700000000.0,51362000000.0,16576000000.0,804000000.0,1517600000.0,1529700000.0,gross_profit_less_sga,0.445601806783225,0.12287294108484872,0.015497838869202913,0.01580935321833262,0.14925373134328357,6617000000.0,USD,annual,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm,5224000000.0,-718000000.0,5369059701.4925375,6071059701.4925375,USD,1.0,2024-05-31,not_required_usd_source
NKE,2025-05-31,430000000.0,3698000000.0,,26519000000.0,775000000.0,2300000000.0,19790000000.0,666000000.0,389000000.0,3219000000.0,3702000000.0,3885000000.0,46309000000.0,16088000000.0,709000000.0,1484900000.0,1487600000.0,gross_profit_less_sga,0.42734673605562634,0.07994126411712627,0.016735407804098556,0.009285452071951457,0.17142857142857143,3268000000.0,USD,annual,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm,4816000000.0,-408000000.0,3067371428.5714283,3820371428.5714283,USD,1.0,2025-05-31,not_required_usd_source
NKE,2026-05-31,684000000.0,2868000000.0,,26487000000.0,747000000.0,2407000000.0,19911000000.0,792000000.0,323000000.0,3108000000.0,3797000000.0,3900000000.0,46398000000.0,16114000000.0,715000000.0,1479800000.0,1481000000.0,gross_profit_less_sga,0.42913487650329757,0.0818354239406871,0.016099831889305572,0.014742014742014743,0.20307692307692307,2184000000.0,USD,annual,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm,5884000000.0,1068000000.0,3025916923.0769234,2020916923.0769234,USD,1.0,2026-05-31,not_required_usd_source
ONON,2023-12-31,50749380.92231751,275208675.51565176,-119996199.7509003,859419422.7218629,76954084.62285998,,1265414470.100403,12450198.590755465,7707265.794277193,94384362.64991762,213669122.48134616,81934164.05916215,2124952466.142178,1051745347.6190569,32370516.33596421,,,reported,0.5955024831203616,0.10055242452988114,0.03621449695887507,0.023882595837285865,0.15195369030390737,224459294.59333423,USD,annual,https://www.sec.gov/Archives/edgar/data/1858985/000185898526000008/onholdingag-20251231.htm,475479012.8469468,-63436726.152896896,181201310.81630802,270842740.66974735,CHF,1.185733199119568,2023-12-29,latest_valid_adj_close_on_or_before_period_end
ONON,2024-12-31,66981086.790561676,565298230.0043106,51038481.0090065,1010362641.4060593,115805316.9965744,,1556286176.8841743,41406490.01598358,16939018.642902374,268256484.78269577,234267734.95674133,309552262.25852966,2566648818.2902336,1322129154.4675827,63659710.586071014,,,reported,0.6063494802225768,0.09127377819954277,0.045119268429452616,0.02609670879523789,0.13376251788268956,498317143.21374893,USD,annual,https://www.sec.gov/Archives/edgar/data/1858985/000185898526000008/onholdingag-20251231.htm,346751675.7488251,-97205610.2514267,202931492.87025303,348961333.32769245,CHF,1.1071254014968872,2024-12-31,latest_valid_adj_close_on_or_before_period_end
ONON,2025-12-31,92080330.96790314,454086131.4535141,-237084747.91049957,1415056169.8675156,160919535.87532043,,2391815016.746521,1894657.015800476,27156750.559806824,257294422.74570465,476190463.30451965,259189079.76150513,3806997497.0817566,1915624553.4420013,84122771.50154112,,,reported,0.6282680822826808,0.12508294625082947,0.042269409422694096,0.02418712674187127,0.007309941520467836,362005800.48561096,USD,annual,https://www.sec.gov/Archives/edgar/data/1858985/000185898526000008/onholdingag-20251231.htm,471390665.53115845,75786280.63201904,472709538.86515915,465762463.1405574,CHF,1.2631046772003174,2025-12-31,latest_valid_adj_close_on_or_before_period_end
