fiscal_year,wholesale_revenue,company,currency,scope
2021,405.243,Deckers,USD,Deckers reported channel series
2022,628.674,Deckers,USD,Deckers reported channel series
2023,925.877,Deckers,USD,Deckers reported channel series
2024,1126.126,Deckers,USD,Deckers reported channel series
2021,25898.0,Nike,USD,Nike; all products
2022,25608.0,Nike,USD,Nike; all products
2023,27397.0,Nike,USD,Nike; all products
2024,27758.0,Nike,USD,Nike; all products
2021,448.8,On,CHF,On consolidated; all products
2022,777.0,On,CHF,On consolidated; all products
2023,1120.3,On,CHF,On consolidated; all products
2024,1375.5,On,CHF,On consolidated; all products
