event_date,event,category,source_url
2020-07-22,CDA operating-model update,strategy,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2020/Nike-Announces-Senior-Leadership-Changes-to-Unlock-Future-Growth-Through-the-Consumer-Direct-Acceleration/default.aspx
2022-02-25,Foot Locker vendor-mix reset,retailer,https://investors.footlocker-inc.com/news-releases/news-release-details/foot-locker-inc-reports-2021-fourth-quarter-and-full-year
2024-09-19,Elliott Hill announced as CEO,leadership,https://about.nike.com/en/newsroom/releases/nike-inc-announces-return-of-long-time-nike-veteran-elliott-hill-as-president-and-ceo
2025-04-02,Liberation Day tariffs announced,macro,https://www.whitehouse.gov/fact-sheets/2025/04/fact-sheet-president-donald-j-trump-declares-national-emergency-to-increase-our-competitive-edge-protect-our-sovereignty-and-strengthen-our-national-and-economic-security/
