ticker,period_end,duration,metric,value,currency,line_item,source_column,source_line,form,filing_date,source_url
NKE,2021-05-31,annual,interest_paid,293000000.0,USD,"Interest, net of capitalized interest",2021,1684,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2021-05-31,annual,net_income,5727000000.0,USD,NET INCOME,2021,1565,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2021-05-31,annual,pretax_income,6661000000.0,USD,Income before income taxes,2021,1563,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2021-05-31,annual,revenue,44538000000.0,USD,Revenues,2021,1555,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2021-05-31,annual,selling_general_admin,13025000000.0,USD,Total selling and administrative expense,2021,1560,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2021-05-31,annual,stock_based_compensation,611000000.0,USD,Stock-based compensation,2021,1654,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2021-05-31,annual,weighted_average_basic_shares,1573000000.0,shares,Basic,2021,1570,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2021-05-31,annual,weighted_average_diluted_shares,1609400000.0,shares,Diluted,2021,1571,10-K,2023-07-20,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm
NKE,2021-05-31,instant,accounts_payable,2836000000.0,USD,Accounts payable,2021,1569,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,accounts_receivable,4463000000.0,USD,"Accounts receivable, net",2021,1555,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,cash_and_equivalents,9889000000.0,USD,Cash and equivalents,2021,1553,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,class_a_shares_outstanding,305000000.0,shares,Class A shares outstanding,2021,1581,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,class_b_shares_outstanding,1273000000.0,shares,Class B shares outstanding,2021,1582,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,current_assets,26291000000.0,USD,Total current assets,2021,1558,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,current_lease_liabilities,467000000.0,USD,Current portion of operating lease liabilities,2021,1570,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,current_liabilities,9674000000.0,USD,Total current liabilities,2021,1573,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,inventory,6854000000.0,USD,Inventories,2021,1556,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,noncurrent_debt,9413000000.0,USD,Long-term debt,2021,1574,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,noncurrent_lease_liabilities,2931000000.0,USD,Operating lease liabilities,2021,1575,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,other_current_assets,1498000000.0,USD,Prepaid expenses and other current assets,2021,1557,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,other_current_liabilities,6063000000.0,USD,Accrued liabilities,2021,1571,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
NKE,2021-05-31,instant,short_term_investments,3587000000.0,USD,Short-term investments,2021,1554,10-K,2022-07-21,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm
