case,fundamental_value_per_share,sentiment_adjustment_fraction,adjusted_reference_price,sentiment_effect_per_share,comparison_close,adjusted_upside_vs_close,valuation_date
bear,25.58550022414259,0.001397611685869013,25.62125881824465,0.03575859410206306,36.22,-0.2926212363819809,2026-09-15
base,40.04731989348642,0.001397611685869013,40.103290495757285,0.05597060227086814,36.22,0.10721398386961045,2026-09-15
bull,52.773914900506234,0.001397611685869013,52.847672340680234,0.0737574401739991,36.22,0.45907433298399325,2026-09-15
