ticker,period_end,capital_expenditures,cash_from_operations,change_in_working_capital,cost_of_revenue,depreciation_amortization,dividends_paid,gross_profit,income_tax_expense,interest_paid,net_income,operating_income,pretax_income,revenue,selling_general_admin,stock_based_compensation,weighted_average_basic_shares,weighted_average_diluted_shares,operating_income_basis,gross_margin,operating_margin,da_to_revenue,capex_to_revenue,tax_rate_observed,cash_flow_after_capex,currency,duration,source_url,operating_nwc_proxy,delta_operating_nwc_proxy,nopat_observed_tax,fcff_proxy_observed_tax_nwc,revenue_growth,ebit,da_ratio,capex_ratio,effective_tax_rate,nwc_proxy_to_revenue,reported_cash_after_capex
NKE,2024-05-31,812000000.0,7429000000.0,,28475000000.0,796000000.0,2169000000.0,22887000000.0,1000000000.0,381000000.0,5700000000.0,6311000000.0,6700000000.0,51362000000.0,16576000000.0,804000000.0,1517600000.0,1529700000.0,gross_profit_less_sga,0.445601806783225,0.12287294108484872,0.0154978388692029,0.0158093532183326,0.1492537313432835,6617000000.0,USD,annual,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm,5224000000.0,-718000000.0,5369059701.4925375,6071059701.4925375,,6311000000.0,0.015497838869202913,0.01580935321833262,0.14925373134328357,0.10170943499084927,6617000000.0
NKE,2025-05-31,430000000.0,3698000000.0,,26519000000.0,775000000.0,2300000000.0,19790000000.0,666000000.0,389000000.0,3219000000.0,3702000000.0,3885000000.0,46309000000.0,16088000000.0,709000000.0,1484900000.0,1487600000.0,gross_profit_less_sga,0.42734673605562634,0.07994126411712627,0.0167354078040985,0.0092854520719514,0.1714285714285714,3268000000.0,USD,annual,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm,4816000000.0,-408000000.0,3067371428.5714283,3820371428.571428,-0.09838012538452556,3702000000.0,0.016735407804098556,0.009285452071951457,0.17142857142857143,0.10399706320585632,3268000000.0
NKE,2026-05-31,684000000.0,2868000000.0,,26487000000.0,747000000.0,2407000000.0,19911000000.0,792000000.0,323000000.0,3108000000.0,3797000000.0,3900000000.0,46398000000.0,16114000000.0,715000000.0,1479800000.0,1481000000.0,gross_profit_less_sga,0.42913487650329757,0.0818354239406871,0.0160998318893055,0.0147420147420147,0.203076923076923,2184000000.0,USD,annual,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm,5884000000.0,1068000000.0,3025916923.0769234,2020916923.0769236,0.0019218726381480256,3797000000.0,0.016099831889305572,0.014742014742014743,0.20307692307692307,0.12681581102633735,2184000000.0
