fiscal_year,period_end,year_number,growth,margin,da_ratio,capex_ratio,nwc_target,tax_rate,credit_spread,terminal_growth,terminal_roic,wacc,revenue,ebit,nopat,da,capex,nwc_ratio,nwc,previous_nwc,delta_nwc,fcff_full_year,stub_fraction,fcff_remaining,discount_years,pv_fcff,terminal_nopat,terminal_reinvestment_rate,terminal_reinvestment,terminal_fcff,explicit_net_reinvestment,terminal_value,pv_terminal
2031,2031-05-31,5,0.015,0.09,0.016,0.016,0.13,0.24,0.02,0.015,0.1,0.08782323000429983,46599342033.09,4193940782.9780993,3187394995.0633554,745589472.5294399,745589472.5294399,0.13,6057914464.3017,5939150977.424,118763486.87769985,3068631508.1856556,1.0,3068631508.1856556,4.706365503080082,2064847026.849509,3235205919.9893055,0.15,485280887.9983958,2749925031.9909096,118763486.87769985,37761645999.88961,25409379478.710068
2031,2031-05-31,5,0.025,0.12,0.016,0.018,0.12,0.22,0.015,0.02,0.12,0.0876288340387869,53264529718.933495,6391743566.272019,4985559981.692175,852232475.5029359,958761534.9408028,0.12,6391743566.272019,6306684643.96704,85058922.30497932,4793971999.949328,1.0,4793971999.949328,4.706365503080082,3228523305.4731293,5085271181.326018,0.16666666666666669,847545196.8876698,4237725984.438349,191587981.74284625,62661526620.55215,42199703930.919044
2031,2031-05-31,5,0.035,0.14,0.016,0.021,0.115,0.21,0.0125,0.025,0.14,0.08752320829040958,57537110462.83199,8055195464.79648,6363604417.189219,920593767.405312,1208279319.719472,0.115,6616767703.225679,6524383795.238401,92383907.98727798,5983534956.887781,1.0,5983534956.887781,4.706365503080082,4031482456.001755,6522694527.618949,0.17857142857142858,1164766879.931955,5357927647.686994,380069460.301438,85695021004.04602,57738105690.654655
