date,time,source_url,heading,description,published_at,heading_key,publisher_domain,age_days,text,sentiment_score,publication_day
2026-07-01,07:00:00 UTC,https://www.fool.com/investing/2026/07/01/is-nike-a-buy-after-its-latest-earnings-report/,Is Nike a Buy After Its Latest Earnings Report?,"Nike (NKE -2.24%) delivered another middling quarter on Tuesday afternoon, but investors had a surprising response. After the stock fell as much as double...",2026-07-01 07:00:00+00:00,is nike a buy after its latest earnings report,fool.com,76,"Is Nike a Buy After Its Latest Earnings Report?. Nike (NKE -2.24%) delivered another middling quarter on Tuesday afternoon, but investors had a surprising response. After the stock fell as much as double...",0.3919,2026-07-01
2026-07-01,07:00:00 UTC,https://www.morningstar.com/stocks/nike-earnings-transformation-progress-overshadowed-by-near-term-challenges,Nike Earnings: Transformation Progress Overshadowed by Near-Term Challenges,"We expect to reduce our fair value estimate for Nike stock, given the soft near-term outlook.",2026-07-01 07:00:00+00:00,nike earnings transformation progress overshadowed by near term challenges,morningstar.com,76,"Nike Earnings: Transformation Progress Overshadowed by Near-Term Challenges. We expect to reduce our fair value estimate for Nike stock, given the soft near-term outlook.",0.7783,2026-07-01
2026-07-01,07:00:00 UTC,https://www.tikr.com/blog/nike-nyse-nke-stock-beats-quarterly-expectations-despite-continued-sales-slump-in-china,Nike Stock Beats Quarterly Expectations Despite Continued Sales Slump in China,Price change for Nike stock in last 6 months: -35%; $NKE Share Price as of Jun. 30: $41; 52-Week High: $80; $NKE Stock Price Target: $55.,2026-07-01 07:00:00+00:00,nike stock beats quarterly expectations despite continued sales slump in china,tikr.com,76,Nike Stock Beats Quarterly Expectations Despite Continued Sales Slump in China. Price change for Nike stock in last 6 months: -35%; $NKE Share Price as of Jun. 30: $41; 52-Week High: $80; $NKE Stock Price Target: $55.,0.296,2026-07-01
2026-07-14,07:00:00 UTC,https://www.trefis.com/stock/nke/articles/606845/has-nike-stocks-direct-to-consumer-engine-stalled-for-good/2026-07-14,Has Nike Stock’s Direct-to-Consumer Engine Stalled For Good?,"The company's once-touted digital strategy has been quietly sidelined as sales in the channel decline, shifting the weight of the business back to a slower,...",2026-07-14 07:00:00+00:00,has nike stock s direct to consumer engine stalled for good,trefis.com,63,"Has Nike Stock’s Direct-to-Consumer Engine Stalled For Good?. The company's once-touted digital strategy has been quietly sidelined as sales in the channel decline, shifting the weight of the business back to a slower,...",0.2732,2026-07-14
2026-07-14,07:00:00 UTC,https://www.quiverquant.com/news/Fund+Update%3A+506%2C975+NIKE+%28NKE%29+shares+added+to+Douglas+Lane+%26+Associates%2C+LLC+portfolio,"Fund Update: 506,975 NIKE (NKE) shares added to Douglas Lane & Associates, LLC portfolio","Fund Update: 506,975 NIKE (NKE) shares added to Douglas Lane & Associates, LLC portfolio ... Douglas Lane & Associates, LLC has added 506,975 shares of $NKE to...",2026-07-14 07:00:00+00:00,fund update 506 975 nike nke shares added to douglas lane associates llc portfolio,quiverquant.com,63,"Fund Update: 506,975 NIKE (NKE) shares added to Douglas Lane & Associates, LLC portfolio. Fund Update: 506,975 NIKE (NKE) shares added to Douglas Lane & Associates, LLC portfolio ... Douglas Lane & Associates, LLC has added 506,975 shares of $NKE to...",0.6808,2026-07-14
2026-07-17,07:00:00 UTC,https://simplywall.st/stocks/us/consumer-durables/nyse-nke/nike/news/nike-nke-stock-faces-margin-slippage-as-67-profitability-tes,Nike (NKE) Stock Faces Margin Slippage As 6.7% Profitability Tests Bullish Narratives,Nike (NKE) Stock Faces Margin Slippage As 6.7% Profitability Tests Bullish Narratives · Nike's 6.7% Margin Meets Slower 2.4% Revenue Growth · P/E Of 20.9x...,2026-07-17 07:00:00+00:00,nike nke stock faces margin slippage as 6 7 profitability tests bullish narratives,simplywall.st,60,Nike (NKE) Stock Faces Margin Slippage As 6.7% Profitability Tests Bullish Narratives. Nike (NKE) Stock Faces Margin Slippage As 6.7% Profitability Tests Bullish Narratives · Nike's 6.7% Margin Meets Slower 2.4% Revenue Growth · P/E Of 20.9x...,0.7003,2026-07-17
2026-07-21,07:00:00 UTC,https://finance.yahoo.com/markets/stocks/articles/bull-case-nike-nke-could-170924202.html,The Bull Case For NIKE (NKE) Could Change Following Missed World Cup Moment And Brand Relevance Questions,"The completion of Nike's US$12,124.68 million buyback, retiring 124,360,522 shares, is the most relevant recent announcement here, because it tightens the link...",2026-07-21 07:00:00+00:00,the bull case for nike nke could change following missed world cup moment and brand relevance questions,finance.yahoo.com,56,"The Bull Case For NIKE (NKE) Could Change Following Missed World Cup Moment And Brand Relevance Questions. The completion of Nike's US$12,124.68 million buyback, retiring 124,360,522 shares, is the most relevant recent announcement here, because it tightens the link...",0.0,2026-07-21
2026-07-28,07:00:00 UTC,https://finance.yahoo.com/markets/stocks/articles/nike-nke-stock-looks-cheap-020813121.html,Nike (NKE) Stock Looks Cheap On Earnings But Pricey On Cash Flow,"Overall, the Discounted Cash Flow view suggests NIKE stock appears roughly fairly valued, with only a small tilt toward overvalued at current prices. NIKE is...",2026-07-28 07:00:00+00:00,nike nke stock looks cheap on earnings but pricey on cash flow,finance.yahoo.com,49,"Nike (NKE) Stock Looks Cheap On Earnings But Pricey On Cash Flow. Overall, the Discounted Cash Flow view suggests NIKE stock appears roughly fairly valued, with only a small tilt toward overvalued at current prices. NIKE is...",0.631,2026-07-28
2026-08-04,07:00:00 UTC,https://seekingalpha.com/news/4624625-nike-downgraded-as-win-now-will-create-lingering-financial-headwinds---jp-morgan,Nike downgraded as 'Win Now' will create lingering financial headwinds -- J.P. Morgan (NKE:NYSE),Nike downgraded as 'Win Now' will create lingering financial headwinds -- J.P. Morgan ... Coupled with continued headwinds in China and challenges with its...,2026-08-04 07:00:00+00:00,nike downgraded as win now will create lingering financial headwinds j p morgan nke nyse,seekingalpha.com,42,Nike downgraded as 'Win Now' will create lingering financial headwinds -- J.P. Morgan (NKE:NYSE). Nike downgraded as 'Win Now' will create lingering financial headwinds -- J.P. Morgan ... Coupled with continued headwinds in China and challenges with its...,0.9022,2026-08-04
2026-08-17,07:00:00 UTC,https://www.tradingkey.com/analysis/stocks/us-stocks/262113880-why-nike-stock-12-year-low-shares-plunge-78-from-2021-peak-tradingkey,"Why Nike Stock Hit a 12-Year Low, Down 78% From Its 2021 Peak","TradingKey - Nike (NKE), which once swept global markets with its ""Just Do It"" slogan and Air Jordan series, is currently experiencing a prolonged slump...",2026-08-17 07:00:00+00:00,why nike stock hit a 12 year low down 78 from its 2021 peak,tradingkey.com,29,"Why Nike Stock Hit a 12-Year Low, Down 78% From Its 2021 Peak. TradingKey - Nike (NKE), which once swept global markets with its ""Just Do It"" slogan and Air Jordan series, is currently experiencing a prolonged slump...",-0.2732,2026-08-17
