wacc,terminal_growth,value_per_share
0.07762883403878691,0.01,44.234550452053696
0.07762883403878691,0.015,45.39521920886231
0.07762883403878691,0.02,46.74019553584541
0.07762883403878691,0.025,48.32200983013433
0.07762883403878691,0.03,50.21525072236182
0.0826288340387869,0.01,41.21926852104726
0.0826288340387869,0.015,42.10974914389145
0.0826288340387869,0.02,43.12702091660793
0.0826288340387869,0.025,44.304085847302645
0.0826288340387869,0.03,45.686487361237624
0.0876288340387869,0.01,38.59337862811313
0.0876288340387869,0.015,39.276796568258305
0.0876288340387869,0.02,40.04731989348642
0.0876288340387869,0.025,40.925810891852116
0.0876288340387869,0.03,41.940372077037615
0.09262883403878691,0.01,36.28617926388899
0.09262883403878691,0.015,36.80893299598851
0.09262883403878691,0.02,37.39095160155198
0.09262883403878691,0.025,38.045379963447665
0.09262883403878691,0.03,38.78956067413565
0.0976288340387869,0.01,34.24310567623803
0.0976288340387869,0.015,34.63989107777827
0.0976288340387869,0.02,35.076149972024005
0.0976288340387869,0.025,35.560034801437205
0.0976288340387869,0.03,36.1021089453466
