case,price_target,observed_close,upside,target_display_date
bear,25.62125881824465,36.22,-0.2926212363819809,2027-09-15
base,40.103290495757285,36.22,0.10721398386961045,2027-09-15
bull,52.847672340680234,36.22,0.45907433298399325,2027-09-15
